Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Peer_Influence,Parental_Education_Level,Distance_from_Home,study_per_attendance,Exam_Result
17,65,1,2,1,66,1,1,1,2,2,0,2,1,0.26153846153846155,0
18,79,1,1,1,79,1,1,0,0,2,0,1,0,0.22784810126582278,0
15,98,2,1,0,58,2,1,0,0,2,2,1,2,0.15306122448979592,0
19,67,1,1,0,82,2,1,1,0,0,1,0,2,0.2835820895522388,0
22,99,1,0,1,92,0,1,3,1,1,1,2,1,0.2222222222222222,1
31,100,1,1,0,59,1,1,2,2,2,2,2,1,0.31,1
21,82,1,2,1,66,2,1,3,0,1,2,1,2,0.25609756097560976,0
22,67,1,1,1,72,2,1,3,0,2,2,2,1,0.3283582089552239,0
20,73,2,1,1,92,1,1,2,1,2,2,1,2,0.273972602739726,0
8,77,2,1,1,87,1,1,0,0,1,0,0,1,0.1038961038961039,0
20,72,1,1,0,66,1,1,3,0,2,2,2,2,0.2777777777777778,0
20,71,0,2,1,62,2,1,2,1,1,1,1,2,0.28169014084507044,0
35,99,2,2,1,85,0,1,2,1,2,0,2,2,0.35353535353535354,1
19,66,1,1,0,74,1,1,1,2,1,0,0,2,0.2878787878787879,0
22,89,2,2,1,80,1,1,1,2,2,2,0,2,0.24719101123595505,1
20,60,0,2,0,82,2,1,2,0,2,2,0,2,0.3333333333333333,0
13,84,1,1,0,78,1,1,1,0,2,2,0,2,0.15476190476190477,0
27,97,0,2,1,81,1,1,0,2,1,2,0,2,0.27835051546391754,1
25,72,2,2,1,94,0,1,2,0,1,2,1,1,0.3472222222222222,0
25,67,2,1,0,93,2,1,2,0,2,2,0,2,0.373134328358209,0
15,86,1,1,1,57,1,1,1,1,1,1,1,2,0.1744186046511628,0
28,89,0,2,1,79,2,1,0,0,1,2,1,1,0.3146067415730337,1
12,88,0,1,0,72,0,1,2,1,1,2,1,0,0.13636363636363635,0
24,73,1,2,1,64,1,1,4,2,1,0,1,1,0.3287671232876712,0
33,70,1,1,1,82,0,1,1,0,2,0,1,2,0.4714285714285714,0
14,98,1,1,0,76,1,1,0,1,2,2,1,1,0.14285714285714285,0
21,78,1,1,1,55,1,1,1,2,0,2,1,2,0.2692307692307692,0
17,94,0,1,1,65,0,1,4,1,1,0,0,0,0.18085106382978725,0
11,78,1,2,1,51,1,1,2,0,1,0,2,2,0.14102564102564102,0
20,77,1,1,0,87,0,1,0,0,2,2,0,2,0.2597402597402597,0
14,66,2,0,0,96,1,1,3,0,2,1,0,2,0.21212121212121213,0
23,77,1,1,1,79,1,1,0,0,2,0,0,1,0.2987012987012987,0
14,81,1,1,0,81,1,1,1,0,2,1,2,2,0.1728395061728395,0
29,61,1,2,1,52,0,1,3,0,1,2,1,2,0.47540983606557374,0
15,78,2,2,0,75,0,1,1,0,1,1,0,2,0.19230769230769232,0
18,91,0,1,1,76,1,1,1,1,1,0,0,2,0.1978021978021978,0
25,87,1,0,0,52,2,1,1,0,2,2,0,2,0.28735632183908044,0
13,85,2,1,0,89,1,1,0,2,1,0,0,2,0.15294117647058825,0
21,96,1,1,0,64,2,1,2,1,2,0,1,2,0.21875,1
28,61,1,2,0,86,2,1,1,0,1,1,2,0,0.45901639344262296,0
10,82,1,0,0,70,1,1,3,0,2,2,2,2,0.12195121951219512,0
21,91,2,1,0,100,1,1,0,2,1,0,2,2,0.23076923076923078,1
22,82,1,1,0,61,1,1,2,0,1,1,0,2,0.2682926829268293,0
25,73,1,2,0,53,2,0,0,0,2,1,2,2,0.3424657534246575,0
13,65,0,2,0,99,1,1,0,0,1,1,0,2,0.2,0
12,96,0,2,1,62,1,1,2,1,2,1,1,2,0.125,0
23,79,2,2,1,82,0,1,3,1,1,1,2,1,0.2911392405063291,0
22,95,1,2,1,69,1,1,1,0,1,2,1,2,0.23157894736842105,1
22,83,1,2,1,82,1,1,2,0,2,2,2,2,0.26506024096385544,1
22,87,2,2,0,80,0,1,2,0,2,1,0,2,0.25287356321839083,0
16,92,1,2,1,85,0,1,1,0,1,0,0,1,0.17391304347826086,0
21,86,0,1,1,51,1,1,2,0,2,2,0,1,0.2441860465116279,0
22,76,1,1,1,92,1,1,1,0,2,0,0,2,0.2894736842105263,0
16,81,1,1,1,74,1,1,3,1,1,2,2,2,0.19753086419753085,0
31,92,1,1,1,76,1,1,2,1,2,2,0,0,0.33695652173913043,1
23,75,0,2,0,71,0,1,0,1,1,0,1,2,0.30666666666666664,0
13,76,1,2,0,99,0,1,2,1,1,2,0,2,0.17105263157894737,0
24,64,1,1,1,90,2,1,0,0,2,1,0,2,0.375,0
14,97,1,1,1,66,1,1,2,1,1,1,1,2,0.14432989690721648,0
25,64,1,2,0,89,0,1,2,1,1,0,1,0,0.390625,0
27,86,1,1,0,72,0,1,1,1,2,2,0,0,0.313953488372093,0
15,77,1,1,1,94,0,1,0,2,2,2,1,1,0.19480519480519481,0
26,76,1,2,1,52,1,1,4,2,0,0,0,2,0.34210526315789475,0
22,87,2,0,1,68,1,0,0,0,1,0,0,2,0.25287356321839083,0
25,63,2,1,1,71,1,1,1,1,0,2,0,2,0.3968253968253968,0
31,84,1,1,1,87,1,1,2,0,1,0,1,0,0.36904761904761907,1
19,91,2,0,0,59,1,1,5,1,2,0,1,1,0.2087912087912088,0
15,93,2,1,0,64,1,1,2,1,2,2,2,2,0.16129032258064516,1
15,67,1,1,1,86,2,1,1,2,1,2,2,2,0.22388059701492538,0
15,96,1,1,0,54,2,0,3,1,2,1,0,2,0.15625,0
20,86,2,0,0,60,1,1,1,1,1,0,1,0,0.23255813953488372,0
22,95,1,2,0,88,0,1,0,0,2,2,2,2,0.23157894736842105,1
22,79,1,1,0,94,1,1,1,1,1,2,0,2,0.27848101265822783,0
25,82,1,1,0,86,1,0,3,0,2,2,0,2,0.3048780487804878,0
20,97,1,1,1,76,0,1,2,0,0,2,2,2,0.20618556701030927,1
29,96,1,1,1,55,0,0,0,1,1,0,2,0,0.3020833333333333,0
18,78,1,1,0,91,2,1,2,2,0,0,1,0,0.23076923076923078,0
36,71,1,1,1,56,1,1,2,2,1,2,0,0,0.5070422535211268,0
24,76,0,2,0,69,0,1,2,1,1,0,0,1,0.3157894736842105,0
15,76,2,2,0,53,1,1,1,0,1,0,1,2,0.19736842105263158,0
14,71,1,1,1,85,0,1,2,1,2,0,0,2,0.19718309859154928,0
23,71,0,0,1,75,0,1,1,0,1,1,1,2,0.323943661971831,0
19,94,0,1,1,95,1,1,3,0,0,2,0,1,0.20212765957446807,0
24,63,1,0,1,57,1,1,1,0,2,0,1,2,0.38095238095238093,0
23,87,2,2,1,91,2,1,0,2,1,2,0,1,0.26436781609195403,1
20,67,0,1,1,76,1,1,0,1,1,0,0,2,0.29850746268656714,0
15,74,0,2,1,68,0,1,3,0,1,2,0,2,0.20270270270270271,0
11,62,1,2,1,82,1,1,3,2,1,0,1,1,0.1774193548387097,0
17,71,1,1,1,90,1,1,5,1,1,2,2,0,0.23943661971830985,0
25,91,1,1,0,72,0,1,2,1,2,2,2,2,0.27472527472527475,1
21,95,1,1,0,62,2,1,1,1,0,2,0,2,0.22105263157894736,0
13,69,1,0,1,96,0,1,0,2,1,0,0,0,0.18840579710144928,0
21,79,1,2,1,66,0,1,2,0,1,1,1,1,0.26582278481012656,0
22,79,2,1,0,100,1,1,4,2,2,1,1,2,0.27848101265822783,1
15,95,0,0,1,88,0,1,1,0,1,1,0,2,0.15789473684210525,0
21,91,1,2,1,84,1,1,1,2,0,0,0,2,0.23076923076923078,0
20,81,2,1,1,51,2,0,3,1,1,0,0,2,0.24691358024691357,0
13,87,2,0,1,72,1,1,2,1,2,0,0,1,0.14942528735632185,0
22,94,0,1,1,75,2,1,2,2,1,0,1,2,0.23404255319148937,1
23,60,2,1,1,69,1,1,1,0,1,2,1,2,0.38333333333333336,0
26,76,1,1,1,57,1,1,1,1,1,2,0,2,0.34210526315789475,0
26,96,1,1,1,68,1,1,3,2,1,2,1,2,0.2708333333333333,1
12,90,1,0,1,54,1,0,1,2,1,0,0,2,0.13333333333333333,0
14,82,1,1,0,65,1,1,1,0,1,2,1,2,0.17073170731707318,0
23,81,0,1,1,54,1,1,1,0,1,0,1,2,0.2839506172839506,0
23,74,1,2,1,88,0,1,0,1,2,1,0,2,0.3108108108108108,0
23,81,1,0,0,84,1,1,2,1,1,2,0,2,0.2839506172839506,0
43,86,2,1,1,97,1,1,2,1,2,2,0,2,0.5,1
23,77,1,2,1,69,0,1,1,1,1,2,0,1,0.2987012987012987,0
27,89,1,2,1,89,1,1,3,1,1,2,0,2,0.30337078651685395,1
26,94,1,2,0,79,2,1,1,0,2,2,2,2,0.2765957446808511,1
24,66,1,0,0,82,0,1,1,1,1,0,0,2,0.36363636363636365,0
18,78,2,1,1,77,1,0,2,1,1,0,0,0,0.23076923076923078,0
25,76,1,1,1,89,2,1,3,1,2,0,0,0,0.32894736842105265,0
15,87,1,2,1,52,1,1,2,0,2,2,1,2,0.1724137931034483,0
19,70,1,0,0,54,2,1,0,1,1,2,0,1,0.2714285714285714,1
17,86,2,0,0,55,0,0,2,2,1,0,1,2,0.19767441860465115,0
20,95,0,1,1,64,0,0,2,1,2,0,0,2,0.21052631578947367,0
34,77,1,0,1,80,0,1,0,1,1,2,0,2,0.44155844155844154,0
9,96,1,1,1,82,2,0,0,0,1,2,1,2,0.09375,0
24,100,2,2,1,86,0,1,2,1,1,2,0,2,0.24,1
10,64,1,2,0,64,2,1,0,1,1,2,0,1,0.15625,0
17,69,2,1,1,83,1,1,2,1,2,2,1,1,0.2463768115942029,0
27,98,0,2,1,56,0,1,1,2,1,2,1,2,0.2755102040816326,1
20,98,1,0,0,50,0,1,1,1,2,0,0,2,0.20408163265306123,0
14,64,1,1,1,85,1,1,0,1,1,0,0,2,0.21875,0
16,61,1,1,0,86,0,1,2,0,2,2,0,2,0.26229508196721313,0
24,66,2,0,1,81,2,1,1,1,1,0,0,0,0.36363636363636365,0
16,100,2,0,1,63,2,1,2,0,1,1,0,1,0.16,0
21,67,1,1,0,96,0,1,3,0,1,0,0,0,0.31343283582089554,0
20,80,1,2,0,94,1,1,0,0,0,2,2,1,0.25,0
16,94,2,2,1,76,1,1,0,0,2,0,0,2,0.1702127659574468,0
33,61,1,1,0,99,2,1,2,1,2,0,1,2,0.5409836065573771,0
24,84,2,0,0,65,0,1,3,1,2,2,0,2,0.2857142857142857,0
8,71,2,0,0,75,1,1,0,1,2,2,0,2,0.11267605633802817,0
21,94,1,1,0,96,0,1,0,1,1,0,2,1,0.22340425531914893,0
16,71,2,1,1,73,1,1,1,1,1,0,0,2,0.22535211267605634,0
25,87,1,0,1,74,0,1,0,1,2,0,0,2,0.28735632183908044,0
19,69,1,1,1,61,2,1,3,2,2,0,0,1,0.2753623188405797,0
23,61,0,1,0,58,1,1,4,1,1,0,0,2,0.3770491803278688,0
25,76,1,2,1,78,1,1,2,1,1,1,0,1,0.32894736842105265,0
13,72,2,2,0,66,1,1,0,0,2,0,2,2,0.18055555555555555,0
18,92,0,1,1,54,1,1,1,1,1,2,0,2,0.1956521739130435,0
17,92,0,0,1,75,1,1,2,1,2,0,2,2,0.18478260869565216,0
16,78,1,2,0,83,1,1,0,0,0,0,1,2,0.20512820512820512,0
31,84,1,1,0,87,2,1,0,1,1,2,1,1,0.36904761904761907,1
22,84,1,1,1,92,0,1,0,1,1,0,0,2,0.2619047619047619,0
12,93,1,1,1,74,0,1,1,1,1,0,2,1,0.12903225806451613,0
26,77,0,1,0,70,0,1,2,2,0,0,1,1,0.33766233766233766,0
33,71,0,1,0,84,1,1,1,1,1,2,0,2,0.4647887323943662,0
26,71,2,1,1,51,0,0,1,2,1,2,2,1,0.36619718309859156,0
11,81,1,1,1,82,2,1,3,1,2,0,0,2,0.13580246913580246,0
17,78,1,2,1,70,1,0,2,0,2,2,0,2,0.21794871794871795,0
28,78,2,1,0,73,2,1,2,1,1,0,1,1,0.358974358974359,0
16,64,2,0,1,65,1,1,3,1,2,2,2,1,0.25,0
23,89,0,0,1,56,0,1,4,1,0,2,2,2,0.25842696629213485,0
25,69,1,1,1,70,0,0,1,2,2,2,0,0,0.36231884057971014,0
14,68,2,1,0,65,1,1,1,2,1,0,1,2,0.20588235294117646,0
20,77,1,1,0,98,0,1,2,0,2,0,2,0,0.2597402597402597,0
1,69,2,1,1,97,1,1,1,0,1,2,0,2,0.014492753623188406,0
14,83,1,0,1,82,1,1,0,1,1,2,0,2,0.1686746987951807,0
18,75,0,2,1,95,1,1,1,0,0,0,1,2,0.24,0
13,78,1,2,1,88,2,1,0,2,0,0,1,2,0.16666666666666666,0
30,81,1,0,1,67,1,1,1,2,2,1,0,2,0.37037037037037035,0
11,68,1,1,0,80,1,1,2,1,1,2,1,1,0.16176470588235295,0
17,66,0,2,0,61,1,1,1,2,1,2,2,2,0.25757575757575757,0
21,95,0,0,0,84,0,1,0,2,1,0,0,2,0.22105263157894736,0
29,77,2,2,1,52,1,1,2,2,1,1,0,2,0.37662337662337664,0
11,76,0,1,1,92,1,1,4,1,0,1,2,2,0.14473684210526316,0
27,61,1,1,0,79,1,1,1,0,1,2,0,1,0.4426229508196721,0
20,80,2,0,1,53,1,1,0,0,1,0,1,1,0.25,0
14,82,1,2,1,94,0,1,2,0,2,1,1,0,0.17073170731707318,0
21,88,1,2,0,93,1,1,4,0,1,2,0,2,0.23863636363636365,1
16,67,1,2,0,89,2,1,3,0,1,2,1,2,0.23880597014925373,0
20,70,1,1,1,84,0,0,2,1,2,0,1,0,0.2857142857142857,0
18,92,2,1,1,70,1,1,1,0,1,0,0,1,0.1956521739130435,0
21,98,1,0,0,57,1,1,2,2,0,0,0,2,0.21428571428571427,0
24,65,1,0,0,64,0,1,1,2,1,0,2,2,0.36923076923076925,0
30,80,0,2,0,67,1,1,3,1,1,1,1,1,0.375,0
13,69,1,0,1,68,0,1,0,2,1,2,0,1,0.18840579710144928,0
33,62,2,1,1,78,1,1,0,1,1,2,0,1,0.532258064516129,0
8,73,1,1,0,60,1,0,0,2,1,0,0,2,0.1095890410958904,0
19,66,1,2,0,59,1,1,1,2,1,1,0,0,0.2878787878787879,0
24,88,0,1,1,86,0,1,0,0,0,1,1,2,0.2727272727272727,0
22,81,0,2,1,50,2,1,4,1,1,2,0,0,0.2716049382716049,0
16,66,1,2,1,57,2,1,3,1,1,2,0,1,0.24242424242424243,0
19,60,1,2,1,72,2,1,3,0,2,2,0,1,0.31666666666666665,0
17,92,0,0,1,57,1,1,2,1,1,2,0,1,0.18478260869565216,0
16,67,2,1,0,98,1,1,0,0,0,0,0,2,0.23880597014925373,0
25,84,1,0,1,84,0,1,2,1,2,2,0,2,0.2976190476190476,0
22,73,0,1,1,72,0,1,3,1,1,2,0,2,0.3013698630136986,0
16,83,1,2,1,56,0,1,4,2,1,2,0,2,0.1927710843373494,0
25,73,0,0,0,69,1,1,3,1,1,2,0,2,0.3424657534246575,0
22,63,0,0,0,83,1,1,3,1,1,1,1,2,0.3492063492063492,0
25,69,2,1,1,98,1,1,1,0,1,1,1,1,0.36231884057971014,0
24,68,1,1,1,74,1,1,1,1,1,0,0,2,0.35294117647058826,0
15,77,1,1,1,85,2,1,1,0,1,2,2,1,0.19480519480519481,0
17,86,2,0,1,60,2,1,2,2,0,2,1,1,0.19767441860465115,0
24,71,1,1,1,81,1,1,0,0,1,2,0,2,0.3380281690140845,0
24,60,0,1,0,62,2,1,4,0,2,1,0,2,0.4,0
20,81,1,1,1,60,0,1,3,1,1,2,0,2,0.24691358024691357,0
21,84,1,1,0,75,0,0,1,2,1,2,1,1,0.25,0
28,99,1,1,1,61,1,0,1,0,1,2,0,2,0.2828282828282828,1
16,84,1,2,1,86,1,1,1,0,1,0,0,2,0.19047619047619047,0
23,79,1,2,1,97,1,1,1,2,0,0,0,1,0.2911392405063291,0
19,83,1,1,1,70,1,1,2,0,1,1,2,2,0.2289156626506024,0
19,97,2,1,1,66,2,1,2,1,1,2,1,1,0.1958762886597938,1
27,93,2,0,0,59,2,1,2,0,1,1,0,2,0.2903225806451613,0
25,73,1,2,1,70,0,1,0,0,1,0,2,1,0.3424657534246575,0
25,69,0,2,1,78,1,1,0,0,2,1,0,0,0.36231884057971014,0
28,71,1,1,0,69,2,1,1,1,2,0,1,1,0.39436619718309857,0
20,80,0,2,0,81,1,1,3,1,1,1,2,2,0.25,0
18,80,1,1,0,55,0,1,2,0,0,0,0,1,0.225,0
22,63,1,2,1,85,1,1,4,2,2,1,1,2,0.3492063492063492,0
19,89,2,1,1,95,1,1,0,1,1,2,0,2,0.21348314606741572,0
21,92,1,0,1,51,0,1,0,1,1,0,1,1,0.22826086956521738,0
24,72,2,2,0,78,2,1,0,0,2,1,0,2,0.3333333333333333,0
15,87,2,0,1,80,2,1,0,0,1,2,1,2,0.1724137931034483,0
33,77,0,2,1,85,1,1,0,0,1,0,0,0,0.42857142857142855,0
14,96,1,0,1,69,2,1,0,1,1,1,1,2,0.14583333333333334,0
13,94,1,1,1,91,0,1,3,0,1,0,0,2,0.13829787234042554,0
27,81,1,1,1,77,1,1,2,1,0,0,2,1,0.3333333333333333,0
25,88,1,1,1,70,0,1,1,1,1,2,2,1,0.2840909090909091,0
24,95,1,2,1,86,2,1,1,1,2,0,1,2,0.25263157894736843,1
24,80,1,2,1,96,2,1,0,0,2,2,1,1,0.3,0
20,73,1,1,1,91,0,1,1,1,2,0,2,1,0.273972602739726,0
15,90,2,1,1,97,1,1,1,0,2,1,1,2,0.16666666666666666,0
20,69,1,2,0,63,0,1,0,0,1,1,2,2,0.2898550724637681,0
16,76,0,2,1,56,1,0,1,0,1,2,0,2,0.21052631578947367,0
26,95,0,2,0,77,1,1,0,1,1,0,0,1,0.2736842105263158,0
19,89,2,1,1,52,1,1,2,1,1,1,0,1,0.21348314606741572,0
15,76,1,1,1,84,0,1,0,1,2,0,1,2,0.19736842105263158,0
18,69,2,2,0,62,0,1,3,1,1,2,0,1,0.2608695652173913,0
22,74,2,2,1,73,0,1,3,2,2,2,2,1,0.2972972972972973,1
17,71,2,1,1,83,0,1,2,1,1,0,0,2,0.23943661971830985,0
15,67,1,1,0,74,1,1,0,0,1,1,1,1,0.22388059701492538,0
21,90,0,1,1,62,0,1,2,1,2,1,0,2,0.23333333333333334,0
21,70,0,2,1,94,1,1,0,0,2,0,1,0,0.3,0
17,78,1,2,0,88,1,1,0,0,1,1,0,2,0.21794871794871795,0
17,75,1,2,1,80,1,0,1,0,1,2,0,1,0.22666666666666666,0
21,99,1,1,0,85,2,1,4,1,1,2,0,1,0.21212121212121213,1
11,76,1,1,1,71,1,0,1,1,0,0,1,2,0.14473684210526316,0
12,63,1,2,1,69,0,1,0,1,2,1,1,1,0.19047619047619047,0
16,64,0,1,1,58,0,1,1,1,1,2,1,1,0.25,0
19,84,0,1,1,90,2,1,2,0,1,0,2,0,0.2261904761904762,0
22,84,2,1,0,69,1,0,3,1,2,0,1,2,0.2619047619047619,0
29,77,0,2,0,85,1,1,1,1,1,2,1,2,0.37662337662337664,0
25,77,1,0,1,65,2,0,0,1,1,2,1,0,0.3246753246753247,0
19,62,1,1,0,90,0,1,2,0,2,2,1,1,0.3064516129032258,0
20,81,2,1,1,55,1,1,1,2,1,2,2,1,0.24691358024691357,0
14,80,2,1,1,81,1,1,1,0,1,2,2,0,0.175,0
20,66,1,1,0,90,2,1,0,1,1,0,1,2,0.30303030303030304,0
18,64,1,1,1,83,2,1,2,0,1,2,1,2,0.28125,0
22,65,0,2,1,85,1,1,2,2,1,2,2,2,0.3384615384615385,0
23,84,2,1,1,78,0,1,2,0,0,1,0,1,0.27380952380952384,0
29,68,1,2,1,53,1,1,1,1,1,1,0,0,0.4264705882352941,0
